payment_id,permit_id,citizen_id,amount_php,payment_method,status,transaction_date,reference_number
PAY-2026-22CF5CE5,PERMIT-2026-EE9C3A60,CIT-000039,3550.93,Credit Card,Completed,2026-06-17T18:56:14,REF7700284276246
PAY-2026-D493C836,PERMIT-2026-C51A0A70,CIT-000140,2957.09,Debit Card,Completed,2025-10-22T03:46:14,REF7197889778280
PAY-2026-DD068D57,PERMIT-2026-DB932115,CIT-000476,581.32,GCash,Completed,2025-11-18T15:32:39,REF6479695450090
PAY-2026-09B1FD86,PERMIT-2026-73EF2D05,CIT-000105,6091.74,Maya,Completed,2026-06-24T06:48:20,REF2559056165565
PAY-2026-04354244,PERMIT-2026-15A13F2E,CIT-000380,491.42,GCash,Completed,2026-04-14T00:17:21,REF0333491141520
PAY-2026-3850BF79,PERMIT-2026-BDE4A441,CIT-000408,2532.4,Credit Card,Pending,2026-06-02T17:05:09,REF8507698640790
PAY-2026-F296233D,PERMIT-2026-23D7F4B8,CIT-000133,1693.41,Debit Card,Completed,2025-11-17T22:11:29,REF5696591713578
PAY-2026-A9AA5CD9,PERMIT-2026-2DEB6633,CIT-000306,959.01,GCash,Completed,2025-10-03T09:46:53,REF5294563718344
PAY-2026-A4382DE3,PERMIT-2026-D3922B7C,CIT-000317,3160.75,Credit Card,Completed,2026-06-03T16:44:29,REF0496391919541
PAY-2026-D55F9B13,PERMIT-2026-42D6288F,CIT-000064,5579.57,Maya,Completed,2026-02-21T01:23:18,REF9876351484685
PAY-2026-75E3BA55,PERMIT-2026-DD234562,CIT-000431,1239.55,Bank Transfer,Completed,2026-01-07T16:15:44,REF3664987820829
PAY-2026-56C123B2,PERMIT-2026-002E73C3,CIT-000516,8235.56,Bank Transfer,Completed,2026-06-29T03:52:35,REF7374896908357
PAY-2026-6095AE36,PERMIT-2026-6E034384,CIT-000034,3872.18,GCash,Completed,2026-01-21T10:43:55,REF2324665136442
PAY-2026-60CE4412,PERMIT-2026-2AD06D84,CIT-000192,6206.68,Maya,Completed,2025-11-30T04:27:25,REF4936312303477
PAY-2026-D2943C8F,PERMIT-2026-2F8BAEE5,CIT-000002,1217.4,Debit Card,Completed,2025-10-24T09:55:39,REF8660324204482
PAY-2026-567ED1CA,PERMIT-2026-EFD235DE,CIT-000151,8292.3,Credit Card,Completed,2026-04-17T09:29:48,REF0700159416516
PAY-2026-FA540244,PERMIT-2026-EB7EA367,CIT-000074,715.37,Debit Card,Completed,2025-12-21T22:51:11,REF2319818984713
PAY-2026-D483B9E9,PERMIT-2026-C7ED0B4F,CIT-000215,1543.91,Credit Card,Completed,2025-12-02T04:20:11,REF9155963632123
PAY-2026-53482908,PERMIT-2026-CA9CC5DE,CIT-000320,529.47,Over-the-Counter,Completed,2026-05-02T06:36:15,REF4764907851586
PAY-2026-EA6138DF,PERMIT-2026-AEFAB2FB,CIT-000267,6951.35,Debit Card,Completed,2025-10-04T05:36:44,REF7342575409003
PAY-2026-BC7239A3,PERMIT-2026-5D4A0751,CIT-000263,1532.08,Over-the-Counter,Completed,2026-06-28T01:15:59,REF4864518376064
PAY-2026-09924F83,PERMIT-2026-61F02388,CIT-000020,5220.27,Maya,Completed,2025-12-22T23:54:28,REF4134327560417
PAY-2026-9310462E,PERMIT-2026-FB14AA63,CIT-000120,1968.69,Bank Transfer,Completed,2026-06-28T19:01:10,REF7656124815698
PAY-2026-AA459096,PERMIT-2026-5D4A0751,CIT-000263,4356.88,Bank Transfer,Completed,2026-06-29T02:15:59,REF5700272063459
PAY-2026-A333749D,PERMIT-2026-67B92F74,CIT-000285,2624.64,Credit Card,Completed,2026-05-22T19:24:47,REF1123829657724
PAY-2026-571A84E5,PERMIT-2026-CAA8613A,CIT-000373,530.86,Maya,Completed,2026-02-08T06:34:44,REF2954316526693
PAY-2026-ACCA0E39,PERMIT-2026-E6D5A9D0,CIT-000038,7892.52,Credit Card,Pending,2025-11-04T14:08:41,REF0089317342069
PAY-2026-F208BC11,PERMIT-2026-EE9C3A60,CIT-000039,8333.2,Maya,Completed,2026-06-18T11:56:14,REF6942152910867
PAY-2026-8730E9A2,PERMIT-2026-AF77265A,CIT-000257,3051.31,Over-the-Counter,Failed,2025-11-05T23:58:07,REF7133344762639
PAY-2026-E57FEE0A,PERMIT-2026-4184F77C,CIT-000348,8052.67,Over-the-Counter,Completed,2026-03-09T10:01:27,REF3436262044397
PAY-2026-D0A2B22B,PERMIT-2026-136EDF85,CIT-000237,7651.1,Credit Card,Completed,2026-04-29T02:38:30,REF3597107256366
PAY-2026-54822A39,PERMIT-2026-3EB87ED1,CIT-000029,6962.95,Credit Card,Completed,2026-03-16T06:26:41,REF9411800537599
PAY-2026-6AEEB6F4,PERMIT-2026-8248D312,CIT-000377,2287.49,GCash,Completed,2025-11-17T12:19:44,REF0048964652809
PAY-2026-11383C8D,PERMIT-2026-E3E1B3FC,CIT-000438,6377.18,Debit Card,Failed,2025-10-20T18:27:42,REF2428757215862
PAY-2026-23A8600E,PERMIT-2026-506C65AF,CIT-000090,5446.45,Over-the-Counter,Completed,2025-12-02T20:34:54,REF4150274564494
PAY-2026-8F983F89,PERMIT-2026-BE8CA774,CIT-000299,2857.6,Maya,Completed,2026-05-23T03:47:39,REF8562572870320
PAY-2026-D67C388C,PERMIT-2026-08D1AC8D,CIT-000326,3874.57,Bank Transfer,Completed,2026-05-31T16:47:57,REF3207427617075
PAY-2026-88F1805C,PERMIT-2026-2171BC80,CIT-000363,7683.1,GCash,Completed,2025-10-26T21:10:41,REF8777121513422
PAY-2026-2AFD8D35,PERMIT-2026-3FE0CFAF,CIT-000378,6960.24,Maya,Completed,2025-09-25T22:41:52,REF8499390892613
PAY-2026-DA7AA281,PERMIT-2026-25014B1C,CIT-000247,1656.4,Credit Card,Completed,2025-12-13T20:23:58,REF7150416591520
PAY-2026-F2F5B3C5,PERMIT-2026-5E46740A,CIT-000318,6976.12,Bank Transfer,Completed,2026-01-14T00:10:05,REF1777490509759
PAY-2026-3435A46D,PERMIT-2026-DC0A8B67,CIT-000099,751.61,Maya,Completed,2026-03-02T12:06:28,REF2304501896164
PAY-2026-7B797900,PERMIT-2026-63E8A85C,CIT-000024,6197.96,Maya,Completed,2026-06-04T19:15:11,REF2361032664214
PAY-2026-3D5DF0B1,PERMIT-2026-C237CAD5,CIT-000172,982.75,Debit Card,Completed,2026-04-06T22:26:45,REF7649251583776
PAY-2026-6AAF94A1,PERMIT-2026-829FDECE,CIT-000211,7954.56,Maya,Completed,2026-04-06T23:23:23,REF7499616592661
PAY-2026-66FFF230,PERMIT-2026-70B6A266,CIT-000226,1341.01,Bank Transfer,Completed,2025-12-20T06:18:39,REF0857327881476
PAY-2026-235D8EE6,PERMIT-2026-F045C09E,CIT-000340,4678.79,Credit Card,Pending,2026-01-26T19:02:12,REF1742243864908
PAY-2026-A175FA54,PERMIT-2026-DE281AA0,CIT-000504,1312.57,Over-the-Counter,Pending,2025-11-20T20:28:54,REF1081866179454
PAY-2026-D66181DA,PERMIT-2026-B3A54B1A,CIT-000119,2920.17,Maya,Completed,2025-09-10T19:27:50,REF9180172260164
PAY-2026-0C260856,PERMIT-2026-4825A368,CIT-000148,4689.17,GCash,Completed,2025-09-15T02:22:19,REF5977945232194
PAY-2026-794B9CE9,PERMIT-2026-99C523E6,CIT-000214,2627.77,Over-the-Counter,Pending,2026-05-22T12:11:03,REF1680061027769
PAY-2026-74401AA4,PERMIT-2026-BE158009,CIT-000378,160.11,Maya,Completed,2025-09-11T22:29:07,REF7499564122031
PAY-2026-8CEFD76A,PERMIT-2026-DB932115,CIT-000476,1380.59,Bank Transfer,Completed,2025-11-17T22:32:39,REF0303723683147
PAY-2026-2D989AF6,PERMIT-2026-129B2F3E,CIT-000047,7533.27,GCash,Completed,2026-03-20T02:01:04,REF2760122777079
PAY-2026-91EFBE74,PERMIT-2026-41F0585D,CIT-000159,999.5,Credit Card,Completed,2025-10-15T14:58:37,REF3349605016679
PAY-2026-D5BAA16B,PERMIT-2026-4E093FD7,CIT-000290,3160.12,GCash,Pending,2026-01-12T05:19:40,REF9840767899730
PAY-2026-51443A81,PERMIT-2026-3CC0DDB6,CIT-000424,3729.05,Credit Card,Completed,2026-03-31T15:12:51,REF8069581467179
PAY-2026-36B20D64,PERMIT-2026-1D015479,CIT-000302,7607.53,Bank Transfer,Completed,2025-11-05T11:54:04,REF5760243757383
PAY-2026-BEC04F80,PERMIT-2026-721618BF,CIT-000037,7459.61,Credit Card,Pending,2025-09-22T02:25:57,REF9597246657293
PAY-2026-EB92935B,PERMIT-2026-2171BC80,CIT-000363,6919.51,Bank Transfer,Completed,2025-10-27T04:10:41,REF4172232971674
PAY-2026-5F1FE5B7,PERMIT-2026-35DC0EF3,CIT-000464,6644.5,Maya,Completed,2025-10-18T14:20:24,REF3380054522801
PAY-2026-D85C2B11,PERMIT-2026-61F02388,CIT-000020,6173.22,Debit Card,Completed,2025-12-23T02:54:28,REF5619318374550
PAY-2026-BA704FC7,PERMIT-2026-7B46616B,CIT-000058,3719.23,Bank Transfer,Completed,2026-01-17T18:53:40,REF8428910771199
PAY-2026-A7D8EBB2,PERMIT-2026-53DBC930,CIT-000214,8456.34,Maya,Completed,2026-03-11T21:12:38,REF1808121352478
PAY-2026-1B3F5A9A,PERMIT-2026-91A9168C,CIT-000369,4276.62,Debit Card,Completed,2026-03-11T16:32:37,REF7125521376037
PAY-2026-7B4A7646,PERMIT-2026-3DE0242F,CIT-000493,6775.74,Credit Card,Completed,2026-06-18T10:08:00,REF5482145653286
PAY-2026-08F401EE,PERMIT-2026-9AD98AF3,CIT-000238,3645.81,Debit Card,Completed,2026-03-30T05:22:16,REF3266678507208
PAY-2026-491208FC,PERMIT-2026-25559459,CIT-000504,4627.37,Maya,Completed,2025-10-14T23:08:07,REF1155626060290
PAY-2026-278A1157,PERMIT-2026-F8CD6EAF,CIT-000179,4975.27,Bank Transfer,Completed,2025-12-03T19:52:22,REF8466845504892
PAY-2026-05DBD4D3,PERMIT-2026-EE613926,CIT-000162,878.54,Credit Card,Completed,2025-09-16T07:50:32,REF6738997563410
PAY-2026-9BAFC41B,PERMIT-2026-CC9EA27F,CIT-000449,4812.43,Maya,Pending,2026-02-04T12:11:21,REF8562884318848
PAY-2026-2944CA38,PERMIT-2026-198E80CC,CIT-000195,3163.17,Maya,Completed,2026-03-22T03:10:05,REF5200894346810
PAY-2026-CCF99BF3,PERMIT-2026-31C12753,CIT-000053,8264.69,Debit Card,Completed,2026-02-19T19:56:31,REF5485101749075
PAY-2026-0F9952C4,PERMIT-2026-BB127283,CIT-000486,6387.41,GCash,Failed,2026-03-20T18:19:53,REF3998935449268
PAY-2026-52C264F2,PERMIT-2026-359008E8,CIT-000175,6271.23,Bank Transfer,Failed,2026-01-17T14:23:01,REF3158935712661
PAY-2026-94C0C935,PERMIT-2026-42D6288F,CIT-000064,6006.7,Bank Transfer,Completed,2026-02-20T13:23:18,REF1062737158698
PAY-2026-E5E264B3,PERMIT-2026-28E8D91F,CIT-000166,7418.48,GCash,Completed,2025-09-14T19:09:00,REF8649767762282
PAY-2026-D2C6FED9,PERMIT-2026-D4F5F55F,CIT-000207,2196.13,GCash,Completed,2026-03-04T05:06:42,REF7728813770285
PAY-2026-C15D77B3,PERMIT-2026-00C04303,CIT-000433,6541.24,Debit Card,Completed,2026-01-20T07:45:20,REF1961159408215
PAY-2026-466D40D0,PERMIT-2026-CFC4E1AB,CIT-000479,3586.21,Credit Card,Completed,2025-12-22T17:30:04,REF4544702296044
PAY-2026-AF36A735,PERMIT-2026-829FDECE,CIT-000211,1079.08,GCash,Pending,2026-04-06T00:23:23,REF3270185106794
PAY-2026-FF94C222,PERMIT-2026-48018D6B,CIT-000270,6421.96,Over-the-Counter,Completed,2026-04-22T17:23:35,REF9756792287772
PAY-2026-DBD3F37F,PERMIT-2026-BCDEEED5,CIT-000337,5827.19,Debit Card,Completed,2025-09-15T17:07:09,REF5199663658074
PAY-2026-4A94B8D8,PERMIT-2026-BB829AC8,CIT-000425,4340.63,Bank Transfer,Completed,2025-11-03T03:01:20,REF1209481813989
PAY-2026-8B83F951,PERMIT-2026-53093E74,CIT-000180,8275.57,Over-the-Counter,Completed,2025-11-23T11:30:48,REF0983780182043
PAY-2026-7017AADE,PERMIT-2026-F1576E2A,CIT-000102,1919.07,Over-the-Counter,Completed,2026-01-10T21:25:11,REF3971895690705
PAY-2026-CD021A7C,PERMIT-2026-DBBADA84,CIT-000463,7017.92,Over-the-Counter,Completed,2025-09-25T02:41:15,REF6260856411182
PAY-2026-E5FC4DE6,PERMIT-2026-6DB8DED8,CIT-000400,4061.44,Credit Card,Completed,2026-01-08T09:42:02,REF4224124620952
PAY-2026-146FBEE2,PERMIT-2026-CD5FD115,CIT-000045,1526.28,Credit Card,Completed,2026-06-16T12:25:02,REF0046152654610
PAY-2026-55511C6F,PERMIT-2026-B3E9F097,CIT-000476,1055.15,GCash,Completed,2026-02-10T23:43:41,REF3399378861405
PAY-2026-BF381E02,PERMIT-2026-ECDC2AB5,CIT-000158,2150.07,Maya,Completed,2025-10-25T07:14:57,REF7861706304891
PAY-2026-B9CCFEF0,PERMIT-2026-B1A6127C,CIT-000216,5135.87,Credit Card,Completed,2026-02-03T07:40:57,REF3824967183258
PAY-2026-1C5E794C,PERMIT-2026-1B073C38,CIT-000190,7908.84,Maya,Completed,2025-10-23T03:18:29,REF2386870079420
PAY-2026-70B5AD05,PERMIT-2026-8C7B9DBD,CIT-000419,8387.22,Debit Card,Completed,2025-12-19T01:04:25,REF0749465398402
PAY-2026-B28EDDBC,PERMIT-2026-8B9B25F9,CIT-000336,8028.3,GCash,Refunded,2025-12-27T01:41:55,REF8914161284639
PAY-2026-2235E81E,PERMIT-2026-46CECD7D,CIT-000497,4326.8,Credit Card,Completed,2026-03-27T01:53:09,REF8554743553795
PAY-2026-F3F44620,PERMIT-2026-79C540CC,CIT-000233,6017.18,GCash,Completed,2025-10-25T15:03:04,REF0209700268768
PAY-2026-131F0836,PERMIT-2026-C7ED0B4F,CIT-000215,4343.18,Maya,Completed,2025-12-02T09:20:11,REF1180715695620
PAY-2026-BABF71E4,PERMIT-2026-81AEDAE1,CIT-000194,5046.09,GCash,Completed,2026-06-28T03:52:12,REF1753703045319
PAY-2026-D6985399,PERMIT-2026-5C31365A,CIT-000295,4016.94,Bank Transfer,Completed,2026-02-23T01:35:07,REF4337504793036
PAY-2026-FD18BBD5,PERMIT-2026-90BC3A73,CIT-000236,6892.42,Bank Transfer,Completed,2025-10-12T13:09:23,REF1498728399921
PAY-2026-1ADA420D,PERMIT-2026-808079FA,CIT-000310,4461.11,Bank Transfer,Completed,2025-12-02T16:43:36,REF9212493843089
PAY-2026-1D4C2C59,PERMIT-2026-B46C5891,CIT-000399,3886.46,Maya,Completed,2025-11-18T11:08:48,REF4870605664187
PAY-2026-A890FF0C,PERMIT-2026-C1329669,CIT-000126,7297.2,Debit Card,Completed,2025-11-27T10:54:41,REF7580304687506
PAY-2026-0E5A6B92,PERMIT-2026-627A4070,CIT-000306,1893.65,Over-the-Counter,Completed,2026-02-07T11:39:31,REF3519036133254
PAY-2026-5A60E92D,PERMIT-2026-EB49B787,CIT-000133,5392.04,Debit Card,Completed,2026-05-06T11:45:17,REF1107609543173
PAY-2026-A47F0DB0,PERMIT-2026-3112A82A,CIT-000415,6548.75,Credit Card,Completed,2026-02-23T23:14:35,REF5058319971791
PAY-2026-27C79E53,PERMIT-2026-DD234562,CIT-000431,935.85,Credit Card,Completed,2026-01-08T17:15:44,REF1006512070496
PAY-2026-B4DC3CE3,PERMIT-2026-D4E398CA,CIT-000220,719.15,Over-the-Counter,Completed,2025-12-29T10:30:18,REF1108046619639
PAY-2026-BBBC207B,PERMIT-2026-1BC6B335,CIT-000454,1646.21,Debit Card,Completed,2025-12-13T13:52:32,REF9076769915078
PAY-2026-45F19ECE,PERMIT-2026-CD912050,CIT-000384,6522.27,Debit Card,Completed,2026-03-18T22:50:16,REF5931109193928
PAY-2026-2EF35959,PERMIT-2026-B9CDC946,CIT-000513,8263.53,Debit Card,Completed,2025-10-22T15:59:34,REF4567972320024
PAY-2026-E29A5154,PERMIT-2026-721618BF,CIT-000037,3565.43,Over-the-Counter,Pending,2025-09-22T05:25:57,REF9685498227495
PAY-2026-FEE2A885,PERMIT-2026-CA9CC5DE,CIT-000320,3212.21,Over-the-Counter,Failed,2026-05-02T16:36:15,REF4508920388065
PAY-2026-7EC46870,PERMIT-2026-521113F0,CIT-000427,5846.38,Over-the-Counter,Completed,2025-11-10T20:57:42,REF3331537795995
PAY-2026-193A4874,PERMIT-2026-0D193E22,CIT-000380,8311.55,GCash,Completed,2025-09-26T22:01:52,REF9465217073033
PAY-2026-68E3FD72,PERMIT-2026-E9A1D57C,CIT-000431,7007.31,GCash,Completed,2026-03-01T15:13:57,REF7933756362050
PAY-2026-0D039050,PERMIT-2026-24AB0E58,CIT-000395,3288.11,Over-the-Counter,Completed,2025-11-21T18:03:22,REF1508124739500
PAY-2026-4C9DD788,PERMIT-2026-C09E8F0C,CIT-000149,3391.66,Debit Card,Completed,2025-11-13T02:04:27,REF3342342583230
PAY-2026-408AF276,PERMIT-2026-92E03F28,CIT-000443,4061.88,Over-the-Counter,Pending,2026-02-18T01:37:50,REF2410261534735
PAY-2026-FDEA57E1,PERMIT-2026-8A3A7509,CIT-000425,866.62,Bank Transfer,Completed,2026-05-18T08:23:15,REF5289611223386
PAY-2026-7A3A77FA,PERMIT-2026-3C96EB8E,CIT-000501,1815.58,Credit Card,Completed,2026-07-02T15:50:54,REF5596309938425
PAY-2026-CA1E57EC,PERMIT-2026-6BD9A230,CIT-000187,4210.56,Bank Transfer,Completed,2026-02-09T14:47:06,REF3042897317912
PAY-2026-0E469CB9,PERMIT-2026-59B2D94D,CIT-000403,3945.73,Over-the-Counter,Completed,2026-03-01T04:36:05,REF8685787255877
PAY-2026-E74D616C,PERMIT-2026-DC23A1B4,CIT-000452,5495.81,Credit Card,Completed,2026-02-19T22:58:52,REF7496903337363
PAY-2026-E9167337,PERMIT-2026-CA0E3733,CIT-000239,7969.44,Credit Card,Completed,2026-02-09T02:31:32,REF4669254812147
PAY-2026-2150AB3B,PERMIT-2026-CD912050,CIT-000384,601.55,GCash,Failed,2026-03-18T19:50:16,REF8539078956776
PAY-2026-9A591D99,PERMIT-2026-93482DC8,CIT-000382,2254.8,Maya,Completed,2026-05-23T19:16:22,REF6575460273415
PAY-2026-0BF3FB60,PERMIT-2026-07E6ED3A,CIT-000049,3532.32,Credit Card,Pending,2026-02-10T20:31:55,REF1488814311150
PAY-2026-EC90C97A,PERMIT-2026-25716692,CIT-000286,4531.9,Bank Transfer,Pending,2025-11-11T04:12:08,REF8353544439284
PAY-2026-87BD3B09,PERMIT-2026-41EF8E33,CIT-000436,921.88,Debit Card,Completed,2026-05-08T14:15:14,REF0445669078263
PAY-2026-4FBDD5A8,PERMIT-2026-C3E9A4A8,CIT-000215,1808.35,Debit Card,Completed,2026-01-21T17:22:53,REF3373898775153
PAY-2026-7E48B3CB,PERMIT-2026-808079FA,CIT-000310,3797.15,Bank Transfer,Completed,2025-12-03T04:43:36,REF6637780529240
PAY-2026-25B4045C,PERMIT-2026-43BED5D7,CIT-000250,6688.65,Over-the-Counter,Completed,2025-09-25T08:50:24,REF7553666845909
PAY-2026-4BCC7BD0,PERMIT-2026-D3B08D94,CIT-000260,5694.93,Bank Transfer,Completed,2025-09-13T23:56:30,REF0225999966361
PAY-2026-74BC791A,PERMIT-2026-74BE7756,CIT-000440,1406.73,Debit Card,Failed,2026-04-29T14:13:23,REF8637159741218
PAY-2026-FFBBD260,PERMIT-2026-94806B41,CIT-000216,1098.62,Bank Transfer,Completed,2026-06-20T19:01:32,REF2097023164334
PAY-2026-2760DC97,PERMIT-2026-618D9DC7,CIT-000228,180.7,Debit Card,Failed,2026-02-04T09:15:59,REF8170580256621
PAY-2026-1A518D06,PERMIT-2026-F1576E2A,CIT-000102,3901.89,Over-the-Counter,Completed,2026-01-10T14:25:11,REF2867163234672
PAY-2026-C1B32108,PERMIT-2026-AB455EEB,CIT-000450,8324.92,Debit Card,Completed,2025-12-14T00:05:22,REF9949387430271
PAY-2026-06643E5C,PERMIT-2026-FAE4B220,CIT-000105,3302.6,Credit Card,Completed,2025-11-29T05:35:52,REF6938597779014
PAY-2026-9C0779FC,PERMIT-2026-333C09B7,CIT-000497,4966.58,GCash,Completed,2025-10-12T06:12:27,REF7546926329676
PAY-2026-2720F044,PERMIT-2026-99C657FD,CIT-000060,2671.24,Credit Card,Completed,2026-05-11T18:09:58,REF2916032484137
PAY-2026-7B22339A,PERMIT-2026-515C6F9C,CIT-000020,4317.74,Debit Card,Completed,2026-01-01T20:24:48,REF6815118567243
PAY-2026-6CA70347,PERMIT-2026-9EC33E17,CIT-000449,7065.35,Debit Card,Completed,2025-12-08T11:30:54,REF8070176563600
PAY-2026-8945E141,PERMIT-2026-ECDC2AB5,CIT-000158,7885.01,Debit Card,Completed,2025-10-25T13:14:57,REF4125777118372
PAY-2026-07C787E3,PERMIT-2026-3EF6615D,CIT-000389,5117.35,Over-the-Counter,Completed,2026-01-15T00:49:23,REF7422091241862
PAY-2026-703BD2D9,PERMIT-2026-526933DE,CIT-000157,5899.4,Debit Card,Completed,2026-01-05T18:00:57,REF1042752308370
PAY-2026-8FE796DA,PERMIT-2026-B8A2788A,CIT-000020,6879.6,GCash,Completed,2026-05-07T07:30:08,REF8164709006335
PAY-2026-5E78A75C,PERMIT-2026-8576B8CF,CIT-000047,7936.35,GCash,Completed,2026-06-09T05:51:04,REF3310600531312
PAY-2026-22EF6A22,PERMIT-2026-BAD2E1BA,CIT-000290,3858.26,Over-the-Counter,Completed,2026-01-13T09:00:27,REF2068155839386
PAY-2026-16F8B0CD,PERMIT-2026-E88D6165,CIT-000376,1919.12,Debit Card,Completed,2026-01-22T23:55:28,REF6133155206506
PAY-2026-A539FDD6,PERMIT-2026-59B2D94D,CIT-000403,7300.46,GCash,Completed,2026-02-28T23:36:05,REF3731495013649
PAY-2026-F0C0726E,PERMIT-2026-11917F42,CIT-000455,7731.75,Bank Transfer,Completed,2026-06-23T14:31:08,REF7189241956252
PAY-2026-CCF89C56,PERMIT-2026-BCDEEED5,CIT-000337,7995.8,Maya,Completed,2025-09-14T14:07:09,REF5715099768389
PAY-2026-98CB7670,PERMIT-2026-9CFF967A,CIT-000227,2358.57,Debit Card,Completed,2025-11-22T08:19:44,REF0309143639102
PAY-2026-B42D1E10,PERMIT-2026-A611ABB8,CIT-000454,422.83,GCash,Completed,2025-12-06T02:25:17,REF5743263039752
PAY-2026-5E39781B,PERMIT-2026-2BA54E65,CIT-000218,6997.29,Over-the-Counter,Completed,2026-03-05T16:05:40,REF4508640355338
PAY-2026-567A54BD,PERMIT-2026-26159AEA,CIT-000480,8440.12,Maya,Completed,2025-10-17T16:42:50,REF0339685270171
PAY-2026-E34DB621,PERMIT-2026-2AFCB513,CIT-000417,5295.84,Debit Card,Completed,2026-03-01T03:00:47,REF3023212983381
